customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,id
cust_89,uniq_89,21473,São Paulo,DF,cust_89
cust_90,uniq_90,76329,Belo Horizonte,DF,cust_90
cust_91,uniq_91,62693,São Paulo,SP,cust_91
cust_92,uniq_92,83002,Porto Alegre,DF,cust_92
cust_93,uniq_93,41955,Brasília,RJ,cust_93
cust_94,uniq_94,84547,Rio de Janeiro,RS,cust_94
cust_95,uniq_95,54684,Porto Alegre,DF,cust_95
cust_96,uniq_96,27536,São Paulo,DF,cust_96
cust_97,uniq_97,97333,Belo Horizonte,SP,cust_97
cust_98,uniq_98,26483,Brasília,MG,cust_98
cust_99,uniq_99,12067,Porto Alegre,DF,cust_99
cust_100,uniq_100,27293,Belo Horizonte,DF,cust_100
